2024-05-05 20:55:22,528 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\javalab\apache-activemq-6.1.2\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-05-05 20:55:22,535 | INFO  | Starting Persistence Adapter: KahaDBPersistenceAdapter[D:\javalab\apache-activemq-6.1.2\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-05-05 20:55:22,557 | INFO  | Starting KahaDBStore | org.apache.activemq.store.kahadb.KahaDBStore | WrapperSimpleAppMain
2024-05-05 20:55:22,557 | INFO  | Opening MessageDatabase | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2024-05-05 20:55:22,748 | INFO  | Starting Temp Data Store | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-05-05 20:55:22,748 | INFO  | PListStore:[D:\javalab\apache-activemq-6.1.2\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2024-05-05 20:55:22,749 | INFO  | Starting Job Scheduler Store | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-05-05 20:55:22,749 | INFO  | Persistence Adapter successfully started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-05-05 20:55:22,906 | INFO  | Apache ActiveMQ 6.1.2 (localhost, ID:DESKTOP-P5VGONQ-54118-1714931722761-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-05-05 20:55:22,926 | INFO  | Listening for connections at: tcp://DESKTOP-P5VGONQ:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2024-05-05 20:55:22,927 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2024-05-05 20:55:22,929 | INFO  | Listening for connections at: amqp://DESKTOP-P5VGONQ:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2024-05-05 20:55:22,930 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2024-05-05 20:55:22,932 | INFO  | Listening for connections at: stomp://DESKTOP-P5VGONQ:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2024-05-05 20:55:22,932 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2024-05-05 20:55:22,935 | INFO  | Listening for connections at: mqtt://DESKTOP-P5VGONQ:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2024-05-05 20:55:22,935 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2024-05-05 20:55:22,942 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2024-05-05 20:55:22,980 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2024-05-05 20:55:23,074 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@38801b38{/,null,STARTING} has uncovered HTTP methods for the following paths: [/] | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2024-05-05 20:55:23,149 | INFO  | Listening for connections at ws://DESKTOP-P5VGONQ:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2024-05-05 20:55:23,149 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2024-05-05 20:55:23,150 | INFO  | Apache ActiveMQ 6.1.2 (localhost, ID:DESKTOP-P5VGONQ-54118-1714931722761-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-05-05 20:55:23,150 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2024-05-05 20:55:23,786 | INFO  | ActiveMQ WebConsole available at http://127.0.0.1:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2024-05-05 20:55:23,787 | INFO  | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
